transaction_id,account_id,transaction_type,amount_aud,currency,merchant_name,transaction_date,posted_date,description,status
TXN_0000066,ACC_000191,debit,795.97,AUD,Salary,2026-02-09T12:09:49.909789,2026-03-27T05:57:22.942888,grow end-to-end channels,failed
TXN_0000067,ACC_000223,credit,3534.32,AUD,Netflix,2026-03-08T06:31:06.419752,2026-02-04T05:16:05.685753,integrate synergistic vortals,failed
TXN_0000068,ACC_000021,credit,446.74,AUD,JB Hi-Fi,2026-04-07T15:30:57.117457,2026-03-02T21:53:34.474581,cultivate real-time schemas,settled
TXN_0000069,ACC_000191,debit,2025.17,AUD,Shell,2026-02-28T21:37:12.194115,2026-04-17T02:57:58.649176,scale virtual applications,settled
TXN_0000070,ACC_000234,credit,1549.62,AUD,Shell,2026-03-14T15:32:12.730153,2026-03-17T15:49:03.536057,whiteboard user-centric deliverables,failed
TXN_0000071,ACC_000082,debit,4407.21,AUD,Shell,2026-03-18T10:41:37.893781,2026-03-08T21:43:43.402910,redefine cross-media info-mediaries,failed
TXN_0000072,ACC_000198,credit,4003.51,AUD,Kmart,2026-03-09T10:26:17.317730,2026-04-02T06:55:25.590333,grow extensible relationships,pending
TXN_0000073,ACC_000266,debit,3907.36,AUD,Salary,2026-02-25T23:06:54.792300,2026-02-02T21:06:17.583799,implement clicks-and-mortar deliverables,settled
TXN_0000074,ACC_000171,credit,3820.28,AUD,Bunnings,2026-04-03T05:58:31.240515,2026-04-06T04:19:09.893664,seize front-end info-mediaries,settled
TXN_0000075,ACC_000093,credit,1426.98,AUD,Kmart,2026-03-09T00:34:06.953414,2026-03-22T18:20:17.238173,synthesize compelling content,failed
TXN_0000076,ACC_000272,credit,1221.71,AUD,Rent Payment,2026-01-20T16:28:53.094306,2026-02-27T14:29:42.995981,envisioneer bleeding-edge synergies,settled
TXN_0000077,ACC_000311,credit,1863.83,AUD,Woolworths,2026-03-10T04:53:36.034047,2026-02-05T20:04:05.935231,matrix user-centric interfaces,settled
TXN_0000078,ACC_000302,debit,2979.61,AUD,Sydney Water,2026-02-11T08:31:50.211789,2026-03-25T05:01:15.755690,visualize integrated architectures,settled
TXN_0000079,ACC_000085,debit,1787.61,AUD,Salary,2026-02-08T17:14:04.706387,2026-01-26T23:50:52.885169,whiteboard web-enabled deliverables,pending
TXN_0000080,ACC_000228,debit,120.1,AUD,Ausgrid,2026-03-29T16:09:27.774740,2026-04-11T18:15:23.441144,exploit real-time technologies,settled
TXN_0000081,ACC_000039,credit,2782.03,AUD,Salary,2026-03-19T05:25:19.950486,2026-03-08T17:45:16.612628,empower transparent solutions,pending
TXN_0000082,ACC_000127,debit,1114.41,AUD,AGL Energy,2026-04-06T16:16:34.213893,2026-02-05T06:45:16.223925,envisioneer one-to-one functionalities,settled
TXN_0000083,ACC_000046,debit,130.03,AUD,Rent Payment,2026-03-01T20:17:45.266318,2026-03-01T14:43:56.000681,scale holistic solutions,settled
TXN_0000084,ACC_000191,credit,4387.45,AUD,Kmart,2026-02-17T17:20:43.591257,2026-02-02T13:23:50.996593,incubate vertical ROI,failed
TXN_0000085,ACC_000178,debit,4362.99,AUD,Bunnings,2026-04-17T08:59:36.336413,2026-02-14T06:07:20.644189,enable visionary synergies,failed
TXN_0000086,ACC_000251,credit,2840.27,AUD,Spotify,2026-02-09T19:37:32.432106,2026-02-02T10:13:54.402192,synthesize killer supply-chains,pending
TXN_0000087,ACC_000220,credit,4090.29,AUD,JB Hi-Fi,2026-02-26T16:28:47.779099,2026-03-31T13:55:18.234143,synthesize out-of-the-box bandwidth,settled
TXN_0000088,ACC_000178,credit,1646.98,AUD,Kmart,2026-03-23T14:08:03.026311,2026-01-22T17:18:25.856162,evolve B2B markets,settled
TXN_0000089,ACC_000001,debit,1548.47,AUD,Woolworths,2026-02-12T20:24:09.824418,2026-02-24T04:23:09.723162,incubate collaborative ROI,pending
TXN_0000090,ACC_000316,credit,1349.3,AUD,Ausgrid,2026-02-06T03:53:25.269796,2026-04-05T14:28:47.503023,transition enterprise synergies,settled
TXN_0000091,ACC_000251,debit,3585.76,AUD,JB Hi-Fi,2026-01-30T20:11:31.060900,2026-03-29T23:56:58.736539,incentivize integrated systems,pending
TXN_0000092,ACC_000234,credit,1777.29,AUD,Sydney Water,2026-02-11T02:37:31.198033,2026-04-19T08:57:05.341657,aggregate ubiquitous platforms,pending
TXN_0000093,ACC_000155,debit,1184.52,AUD,JB Hi-Fi,2026-03-07T18:24:55.797565,2026-04-18T06:07:30.860530,syndicate integrated methodologies,failed
TXN_0000094,ACC_000318,credit,1282.12,AUD,Ausgrid,2026-04-16T08:58:37.259291,2026-04-14T02:58:47.757877,leverage revolutionary schemas,settled
TXN_0000095,ACC_000168,debit,3840.89,AUD,Kmart,2026-03-07T17:57:20.542686,2026-02-11T15:54:37.868846,whiteboard seamless solutions,settled
TXN_0000096,ACC_000269,credit,2780.36,AUD,Spotify,2026-02-21T07:16:35.677552,2026-01-24T13:15:50.513349,repurpose killer initiatives,pending
TXN_0000097,ACC_000078,credit,88.75,AUD,Netflix,2026-02-10T02:26:28.354604,2026-02-27T22:32:38.994848,implement frictionless niches,settled
TXN_0000098,ACC_000076,debit,1270.59,AUD,Uber Eats,2026-03-13T11:42:00.783459,2026-02-24T11:42:03.343094,incentivize value-added paradigms,settled
TXN_0000099,ACC_000095,debit,679.35,AUD,Shell,2026-03-13T03:52:52.928728,2026-03-23T00:46:40.999633,scale B2C relationships,pending
TXN_0000100,ACC_000127,credit,4490.84,AUD,Ausgrid,2026-03-30T05:40:35.472015,2026-02-11T05:59:42.265805,synthesize e-business methodologies,settled
TXN_0000101,ACC_000135,debit,3796.19,AUD,Woolworths,2026-03-16T13:01:40.419214,2026-04-13T15:23:18.148417,engineer leading-edge markets,settled
TXN_0000102,ACC_000160,debit,2445.05,AUD,Salary,2026-02-20T20:40:23.443247,2026-02-02T17:13:07.753938,incubate sticky channels,settled
TXN_0000103,ACC_000156,debit,550.14,AUD,JB Hi-Fi,2026-03-04T18:29:44.249833,2026-02-17T08:54:44.811072,engage cross-media systems,pending
TXN_0000104,ACC_000178,debit,3319.68,AUD,Uber Eats,2026-03-26T20:26:34.355717,2026-01-21T18:52:37.626953,synergize synergistic channels,settled
TXN_0000105,ACC_000218,debit,2128.51,AUD,Kmart,2026-02-11T10:15:31.970798,2026-01-23T10:03:00.908155,unleash visionary schemas,settled
TXN_0000106,ACC_000063,debit,3351.64,AUD,Coles,2026-02-15T09:20:18.701924,2026-03-23T14:21:23.738366,aggregate viral users,settled
TXN_0000107,ACC_000195,credit,895.46,AUD,Rent Payment,2026-02-20T03:42:38.544046,2026-03-26T18:44:39.141114,empower granular partnerships,settled
TXN_0000108,ACC_000041,debit,2848.64,AUD,Bunnings,2026-03-08T16:00:42.658268,2026-03-01T07:25:29.537611,transition back-end users,settled
TXN_0000109,ACC_000246,debit,1782.04,AUD,Woolworths,2026-02-21T21:43:06.409667,2026-01-19T22:18:35.388160,whiteboard enterprise ROI,failed
TXN_0000110,ACC_000290,credit,3098.3,AUD,Ausgrid,2026-04-09T07:53:20.128799,2026-03-16T15:22:54.300690,disintermediate web-enabled vortals,settled
TXN_0000111,ACC_000099,debit,2250.39,AUD,Shell,2026-03-25T18:07:21.703430,2026-03-20T02:39:36.509546,incubate integrated solutions,settled
TXN_0000112,ACC_000025,credit,2901.12,AUD,Ausgrid,2026-03-08T00:44:44.522270,2026-03-05T15:27:40.264813,engage B2C e-business,settled
TXN_0000113,ACC_000045,credit,1048.19,AUD,Ausgrid,2026-02-14T08:18:49.753557,2026-02-25T17:55:58.007911,harness one-to-one platforms,settled
TXN_0000114,ACC_000177,debit,97.56,AUD,Sydney Water,2026-03-07T22:52:05.392767,2026-01-25T20:47:00.459917,e-enable end-to-end ROI,settled
TXN_0000115,ACC_000101,debit,2184.63,AUD,Kmart,2026-04-08T11:29:57.838467,2026-02-07T01:14:44.527084,synthesize dynamic platforms,failed
TXN_0000116,ACC_000293,credit,855.21,AUD,Shell,2026-01-22T17:28:48.157622,2026-03-18T14:56:18.971360,synergize holistic deliverables,settled
TXN_0000117,ACC_000303,credit,1240.05,AUD,Salary,2026-03-17T00:31:52.483571,2026-03-13T23:48:17.892348,streamline bricks-and-clicks e-services,failed
TXN_0000118,ACC_000064,debit,2390.82,AUD,Rent Payment,2026-03-15T09:36:53.382031,2026-01-26T05:50:33.920348,re-contextualize best-of-breed experiences,settled
TXN_0000119,ACC_000226,credit,2044.17,AUD,Netflix,2026-03-05T02:11:27.179106,2026-04-09T22:39:08.720471,evolve plug-and-play functionalities,pending
TXN_0000120,ACC_000303,debit,3973.37,AUD,Shell,2026-01-25T07:52:02.664112,2026-03-11T02:04:40.660519,matrix next-generation relationships,failed
TXN_0000121,ACC_000097,credit,3244.93,AUD,Netflix,2026-04-01T08:20:02.711826,2026-01-25T02:40:58.990101,re-intermediate real-time deliverables,pending
TXN_0000122,ACC_000078,credit,3446.15,AUD,Kmart,2026-01-23T12:33:56.912085,2026-01-26T04:47:36.095849,monetize intuitive e-tailers,settled
TXN_0000123,ACC_000165,credit,498.42,AUD,Coles,2026-04-16T07:37:20.532519,2026-01-28T14:31:57.289226,drive bleeding-edge users,settled
TXN_0000124,ACC_000046,debit,3930.91,AUD,Uber Eats,2026-02-23T13:04:12.542045,2026-02-06T05:53:34.826664,repurpose interactive networks,settled
TXN_0000125,ACC_000037,debit,2570.2,AUD,AGL Energy,2026-03-17T03:27:25.616320,2026-02-04T23:10:28.005306,extend next-generation platforms,pending
TXN_0000126,ACC_000220,credit,222.31,AUD,Sydney Water,2026-03-29T19:55:37.874045,2026-03-12T18:07:57.012362,innovate ubiquitous web services,settled
TXN_0000127,ACC_000005,debit,2951.39,AUD,Rent Payment,2026-02-27T07:14:13.124523,2026-01-29T05:36:58.236877,generate viral schemas,settled
TXN_0000128,ACC_000187,debit,1625.13,AUD,Salary,2026-02-25T00:07:06.582029,2026-02-19T05:46:58.081487,leverage visionary convergence,pending
TXN_0000129,ACC_000153,debit,3706.66,AUD,Woolworths,2026-04-11T02:07:21.131796,2026-03-10T08:55:50.518465,harness out-of-the-box e-markets,settled
TXN_0000130,ACC_000124,debit,4250.8,AUD,Coles,2026-03-29T15:23:35.644825,2026-02-27T14:49:30.853574,drive world-class metrics,settled
TXN_0000131,ACC_000301,debit,2393.18,AUD,Netflix,2026-02-10T12:42:56.596526,2026-03-09T23:18:27.638993,synergize dot-com relationships,settled
TXN_0000132,ACC_000239,debit,2513.57,AUD,Sydney Water,2026-04-16T09:55:22.207309,2026-03-01T03:21:16.359250,strategize clicks-and-mortar paradigms,settled
TXN_0000133,ACC_000319,credit,3035.7,AUD,BP,2026-04-18T07:56:27.519884,2026-03-14T11:36:09.739826,mesh global content,settled
TXN_0000134,ACC_000067,debit,2475.52,AUD,AGL Energy,2026-01-20T10:56:37.214092,2026-04-18T11:02:49.051263,architect turn-key web-readiness,settled
TXN_0000135,ACC_000223,credit,4200.94,AUD,Netflix,2026-03-30T07:14:41.407786,2026-04-14T18:23:11.318959,transition efficient schemas,settled
TXN_0000136,ACC_000154,credit,3439.18,AUD,Sydney Water,2026-03-06T21:06:05.093341,2026-03-12T05:23:53.962600,maximize B2C platforms,settled
TXN_0000137,ACC_000257,debit,2534.81,AUD,Ausgrid,2026-01-23T06:15:55.469451,2026-02-20T20:58:17.137548,enable back-end relationships,failed
TXN_0000138,ACC_000310,credit,1621.0,AUD,BP,2026-04-09T22:20:44.740948,2026-02-11T08:26:45.300162,morph seamless infrastructures,settled
TXN_0000139,ACC_000301,debit,4423.33,AUD,Netflix,2026-03-12T05:00:26.152187,2026-03-12T01:56:06.949491,architect intuitive vortals,settled
TXN_0000140,ACC_000124,debit,1352.55,AUD,Rent Payment,2026-04-01T05:25:41.014988,2026-02-04T10:13:27.768899,transition mission-critical metrics,settled
TXN_0000141,ACC_000007,credit,4136.13,AUD,Spotify,2026-03-18T16:01:29.948670,2026-01-23T05:28:39.531883,exploit enterprise infrastructures,failed
TXN_0000142,ACC_000062,debit,171.26,AUD,Bunnings,2026-03-31T01:49:05.956674,2026-04-12T19:59:50.756941,facilitate cross-media e-commerce,settled
TXN_0000143,ACC_000152,debit,1049.62,AUD,Coles,2026-02-26T08:26:30.837317,2026-04-07T23:16:12.609893,cultivate bleeding-edge experiences,failed
TXN_0000144,ACC_000163,debit,3304.6,AUD,Ausgrid,2026-04-06T07:37:40.229023,2026-04-13T10:38:45.017131,whiteboard enterprise markets,pending
TXN_0000145,ACC_000069,credit,3715.94,AUD,Spotify,2026-02-16T07:05:13.663029,2026-01-23T13:42:31.192824,incubate B2C vortals,settled
TXN_0000146,ACC_000251,credit,169.62,AUD,BP,2026-03-06T01:56:32.922838,2026-02-08T17:40:36.831403,streamline impactful systems,settled
TXN_0000147,ACC_000023,credit,1566.66,AUD,BP,2026-03-28T14:53:23.418610,2026-03-12T15:18:19.743538,evolve magnetic e-commerce,settled
TXN_0000148,ACC_000093,debit,2853.04,AUD,Woolworths,2026-02-14T22:41:10.834722,2026-02-24T08:29:29.012556,enable cross-platform infrastructures,settled
TXN_0000149,ACC_000220,debit,1437.95,AUD,Shell,2026-03-03T16:36:03.792594,2026-03-27T22:38:07.735761,engage wireless portals,failed
TXN_0000150,ACC_000293,debit,690.66,AUD,BP,2026-01-27T12:31:32.206553,2026-03-06T00:41:34.546951,revolutionize end-to-end channels,pending
TXN_0000151,ACC_000314,debit,1000.55,AUD,BP,2026-03-04T03:32:51.375365,2026-02-06T16:40:09.911542,strategize 24/365 schemas,settled
TXN_0000152,ACC_000046,credit,372.83,AUD,Woolworths,2026-03-16T07:18:29.409132,2026-03-27T01:47:50.456234,incentivize interactive partnerships,failed
TXN_0000153,ACC_000163,credit,384.23,AUD,Ausgrid,2026-02-12T19:52:13.137233,2026-02-27T13:41:49.125295,innovate e-business initiatives,settled
TXN_0000154,ACC_000318,debit,2164.93,AUD,BP,2026-03-21T07:43:46.975625,2026-02-26T23:36:09.723995,seize dynamic vortals,failed
TXN_0000155,ACC_000082,debit,1091.55,AUD,BP,2026-02-19T20:55:43.696352,2026-03-19T20:26:25.054339,revolutionize extensible communities,settled
TXN_0000156,ACC_000289,debit,507.72,AUD,Shell,2026-04-18T18:04:59.306310,2026-03-16T07:47:32.452878,exploit visionary e-business,settled
TXN_0000157,ACC_000078,credit,1551.35,AUD,Ausgrid,2026-02-01T23:43:22.463080,2026-01-23T21:41:25.836042,transition bleeding-edge solutions,settled
TXN_0000158,ACC_000068,credit,2773.57,AUD,Uber Eats,2026-03-22T13:07:51.352746,2026-02-02T21:41:45.704785,drive strategic initiatives,failed
TXN_0000159,ACC_000057,credit,203.38,AUD,JB Hi-Fi,2026-03-27T10:15:04.755193,2026-02-10T17:44:21.657778,re-intermediate B2B technologies,settled
TXN_0000160,ACC_000062,debit,507.0,AUD,Spotify,2026-01-21T02:25:08.083984,2026-03-23T07:21:09.670036,embrace extensible systems,settled
TXN_0000161,ACC_000118,debit,1545.71,AUD,Kmart,2026-03-03T06:31:33.801832,2026-02-18T17:36:31.367450,extend killer e-tailers,pending
TXN_0000162,ACC_000188,debit,1494.45,AUD,JB Hi-Fi,2026-03-10T01:01:52.687832,2026-03-28T09:31:19.636699,engage compelling e-business,settled
TXN_0000163,ACC_000227,credit,2470.28,AUD,Bunnings,2026-03-26T13:23:23.785372,2026-02-01T14:03:55.545105,scale vertical architectures,settled
TXN_0000164,ACC_000155,debit,1150.67,AUD,JB Hi-Fi,2026-03-13T08:02:44.439306,2026-03-20T13:58:34.387389,integrate dot-com communities,failed
TXN_0000165,ACC_000111,debit,2093.13,AUD,Coles,2026-01-25T06:35:33.745500,2026-02-06T22:15:30.539237,scale real-time markets,pending
TXN_0000166,ACC_000281,credit,2983.92,AUD,Shell,2026-03-02T17:04:13.323884,2026-04-14T22:20:10.326075,optimize integrated web services,settled
TXN_0000167,ACC_000006,credit,3903.55,AUD,JB Hi-Fi,2026-02-13T06:47:07.507729,2026-04-06T13:15:14.978432,repurpose bricks-and-clicks platforms,pending
TXN_0000168,ACC_000212,debit,4067.57,AUD,Spotify,2026-01-21T13:57:51.046912,2026-04-07T22:21:41.603637,visualize integrated e-services,failed
TXN_0000169,ACC_000034,debit,896.14,AUD,Netflix,2026-04-18T01:06:27.209888,2026-03-06T15:12:07.622745,unleash mission-critical vortals,settled
TXN_0000170,ACC_000013,debit,4150.33,AUD,Uber Eats,2026-03-04T11:37:30.892663,2026-03-14T14:30:17.432986,evolve viral solutions,pending
TXN_0000171,ACC_000310,debit,84.15,AUD,Shell,2026-03-05T22:09:38.798628,2026-03-02T02:00:19.174461,re-contextualize vertical paradigms,settled
TXN_0000172,ACC_000096,credit,3653.8,AUD,Salary,2026-02-11T03:07:19.278694,2026-03-08T12:17:31.869337,facilitate holistic interfaces,pending
TXN_0000173,ACC_000009,credit,1016.28,AUD,BP,2026-03-27T20:38:20.237232,2026-01-21T12:26:20.424438,innovate synergistic convergence,settled
TXN_0000174,ACC_000034,credit,2343.95,AUD,Rent Payment,2026-03-17T03:15:14.024672,2026-02-10T02:57:26.258139,deliver efficient markets,settled
TXN_0000175,ACC_000169,debit,2578.68,AUD,Kmart,2026-03-17T04:27:59.420254,2026-04-08T22:41:52.484110,matrix proactive schemas,failed
TXN_0000176,ACC_000135,credit,2440.74,AUD,Bunnings,2026-04-15T06:50:47.269192,2026-02-09T04:00:49.056753,facilitate impactful web services,failed
